Date,Price,Open,High,Low,Vol.,Change %
10/16/2023,85.26,86.37,86.94,85,205.58K,-1.26%
10/13/2023,86.35,82.27,86.51,82.17,290.38K,5.56%
10/12/2023,81.8,81.84,83.75,81.31,296.21K,-0.33%
10/11/2023,82.07,84.16,84.72,81.63,286.84K,-2.45%
10/10/2023,84.13,84.7,84.94,83.39,246.75K,-0.56%
10/9/2023,84.6,83.2,85.56,82.95,246.68K,4.08%
10/6/2023,81.28,81.05,81.69,80.2,277.71K,0.58%
10/5/2023,80.81,82.85,83.23,80.61,234.18K,-2.11%
10/4/2023,82.55,87.44,87.76,82.5,217.23K,-5.59%
10/3/2023,87.44,87.01,88.25,86.17,204.06K,0.31%
10/2/2023,87.17,88.83,89.89,86.83,161.57K,-1.84%
9/29/2023,88.8,89.7,90.96,88.45,156.93K,-0.88%
9/28/2023,89.59,91.44,92.48,89.31,226.83K,-1.87%
9/27/2023,91.3,88.92,91.73,88.8,293.27K,2.84%
9/26/2023,88.78,88.3,89.09,86.74,137.24K,0.69%
9/25/2023,88.17,88.83,89.07,87.52,161.52K,-0.20%
9/22/2023,88.35,88.27,89.65,87.82,253.89K,0.03%
9/21/2023,88.32,88.07,89.5,87.15,162.03K,-1.49%
9/20/2023,89.66,90.63,91.07,88.97,457.85K,-0.91%
9/19/2023,90.48,90.97,92.43,90.31,537.52K,-0.11%
9/18/2023,90.58,90.41,91.36,89.91,414.19K,0.62%
9/15/2023,90.02,90.07,90.56,88.65,321.84K,0.46%
9/14/2023,89.61,88.19,90.2,88.04,257.68K,1.97%
9/13/2023,87.88,88.07,88.92,87.66,250.86K,-0.32%
9/12/2023,88.16,86.62,88.62,86.58,217.68K,1.73%
9/11/2023,86.66,86.74,87.49,86.12,179.00K,-0.17%
9/8/2023,86.81,86.01,87.2,85.49,125.62K,0.77%
9/7/2023,86.15,86.8,86.99,85.68,111.07K,-0.74%
9/6/2023,86.79,86.02,87.27,85.31,135.35K,0.91%
9/5/2023,86.01,85.19,87.25,84.29,154.05K,0.22%
9/4/2023,85.82,85.85,86.14,85.28,,-0.03%
9/3/2023,85.85,86.06,86.06,85.73,,1.30%
9/1/2023,84.75,82.9,85.19,82.78,169.83K,2.16%
8/31/2023,82.96,81.14,83.02,81,150.23K,2.27%
8/30/2023,81.12,80.78,81.54,80.43,80.26K,0.55%
8/29/2023,80.68,79.55,80.91,78.94,88.15K,1.27%
8/28/2023,79.67,79.69,80.44,79.25,71.33K,0.23%
8/25/2023,79.49,78.49,79.98,77.82,165.22K,1.06%
8/24/2023,78.66,78.3,78.95,77.32,149.90K,0.09%
8/23/2023,78.59,79.35,79.6,77.34,127.19K,-1.32%
8/22/2023,79.64,80.25,80.37,79.46,287.49K,-0.60%
8/21/2023,80.12,80.76,81.75,79.97,361.84K,-0.67%
8/18/2023,80.66,79.58,80.97,79.02,377.45K,0.95%
8/17/2023,79.9,78.91,80.61,78.6,239.17K,1.11%
8/16/2023,79.02,80.74,80.97,78.68,237.71K,-1.84%
8/15/2023,80.5,81.98,82.33,79.95,198.94K,-1.73%
8/14/2023,81.92,82.46,82.51,81.19,126.69K,-0.79%
8/11/2023,82.57,82.33,83.16,81.75,174.30K,0.34%
8/10/2023,82.29,83.51,84.16,82.04,166.86K,-1.67%
8/9/2023,83.69,82.34,83.91,82.11,279.75K,1.61%
8/8/2023,82.36,82.04,82.52,79.52,187.84K,1.07%
8/7/2023,81.49,82.27,82.73,81.08,123.01K,-0.95%
8/4/2023,82.27,81.22,82.66,81.04,108.12K,1.47%
8/3/2023,81.08,79.4,81.4,78.33,150.29K,2.46%
8/2/2023,79.13,81.54,81.95,78.68,135.80K,-2.21%
8/1/2023,80.92,81.25,81.74,80.17,105.36K,-0.49%
7/31/2023,81.32,80.23,81.5,79.72,92.51K,1.42%
7/28/2023,80.18,79.33,80.29,78.67,101.33K,0.69%
7/27/2023,79.63,78.49,80.08,78.47,138.78K,1.57%
7/26/2023,78.4,78.88,79.31,78.17,112.97K,-1.01%
7/25/2023,79.2,78.47,79.46,77.93,122.79K,1.02%
7/24/2023,78.4,76.62,78.89,76.16,109.57K,2.11%
7/21/2023,76.78,75.45,76.98,75.45,106.73K,1.49%
7/20/2023,75.65,75.33,76.15,74.52,340.96K,0.48%
7/19/2023,75.29,75.75,76.87,75.02,385.60K,-0.49%
7/18/2023,75.66,74.08,75.9,73.82,388.37K,2.13%
7/17/2023,74.08,74.88,76,73.78,248.26K,-1.65%
7/14/2023,75.32,77.02,77.11,75.06,204.78K,-1.88%
7/13/2023,76.76,75.64,77.15,75.23,297.92K,1.62%
7/12/2023,75.54,74.7,75.94,74.53,251.40K,1.11%
7/11/2023,74.71,73.13,74.82,72.94,193.29K,2.41%
7/10/2023,72.95,73.76,74.06,72.63,143.74K,-1.11%
7/7/2023,73.77,71.85,73.82,71.22,178.32K,2.76%
7/6/2023,71.79,71.85,72.37,70.28,217.75K,-0.13%
7/5/2023,71.88,70.25,72.25,70.03,214.79K,1.15%
7/4/2023,71.06,70.08,71.34,69.91,,1.64%
7/3/2023,69.91,70.61,71.88,69.82,107.16K,-1.23%
6/30/2023,70.78,69.95,71.17,69.69,136.64K,1.09%
6/29/2023,70.02,69.37,70.73,69.11,106.17K,0.42%
6/28/2023,69.73,68.2,69.9,67.27,159.54K,2.70%
6/27/2023,67.9,69.63,70.29,67.71,170.46K,-2.36%
6/26/2023,69.54,69.93,70.24,68.88,94.21K,0.32%
6/23/2023,69.32,69.66,69.77,67.52,113.92K,-0.45%
6/22/2023,69.63,72.4,72.62,69.07,234.79K,-3.99%
6/21/2023,72.52,70.86,72.69,70.8,97.51K,1.87%
6/20/2023,71.19,71.69,72.38,69.76,430.49K,-0.17%
6/19/2023,71.31,71.47,72.25,70.83,,-0.22%
6/18/2023,71.47,71.59,71.67,71.42,,-0.64%
6/16/2023,71.93,70.81,72.03,70.18,297.84K,1.58%
6/15/2023,70.81,68.92,71.15,68.14,262.83K,3.43%
6/14/2023,68.46,69.51,70.64,68.26,212.22K,-1.61%
6/13/2023,69.58,67.45,69.97,67.31,253.16K,3.40%
6/12/2023,67.29,70.42,70.49,66.96,223.62K,-4.32%
6/9/2023,70.33,71.11,71.93,70.26,160.29K,-1.55%
6/8/2023,71.44,72.57,73.37,69.21,236.21K,-1.65%
6/7/2023,72.64,71.7,73.29,71.14,109.56K,1.10%
6/6/2023,71.85,72.09,72.42,70.29,118.29K,-0.57%
6/5/2023,72.26,75.1,75.7,71.85,148.98K,0.58%
6/2/2023,71.84,70.25,72.24,70.1,110.94K,2.34%
6/1/2023,70.2,67.81,71.14,67.67,135.27K,2.87%
5/31/2023,68.24,69.67,69.81,67.21,157.34K,-1.95%
5/30/2023,69.6,73.22,73.62,69.16,117.50K,-4.49%
5/29/2023,72.87,73.22,73.55,72.05,,-0.48%
5/28/2023,73.22,73.11,73.45,73.06,,0.63%
5/26/2023,72.76,71.99,73.12,71.59,77.58K,1.15%
5/25/2023,71.93,74.18,74.34,71.03,154.73K,-3.18%
5/24/2023,74.29,73.68,74.65,73.09,121.83K,1.98%
5/23/2023,72.85,72,73.72,71.63,92.34K,1.11%
5/22/2023,72.05,71.87,72.53,70.67,263.98K,0.50%
5/19/2023,71.69,72.06,73.58,71.18,312.43K,-0.35%
5/18/2023,71.94,72.82,72.97,71.52,239.92K,-1.30%
5/17/2023,72.89,70.6,73.3,70.05,219.09K,2.89%
5/16/2023,70.84,71.28,71.76,70.44,153.07K,-0.35%
5/15/2023,71.09,70.02,71.67,69.39,159.52K,1.53%
5/12/2023,70.02,71.47,71.74,69.93,115.90K,-1.21%
5/11/2023,70.88,72.54,73.47,70.65,172.29K,-2.26%
5/10/2023,72.52,73.48,73.81,71.78,172.14K,-1.49%
5/9/2023,73.62,72.72,73.69,71.28,135.29K,0.75%
5/8/2023,73.07,71.27,73.56,70.96,125.43K,2.53%
5/5/2023,71.27,68.63,71.72,68.46,115.12K,4.03%
5/4/2023,68.51,68.27,69.76,63.9,160.32K,-0.06%
5/3/2023,68.55,71.43,71.67,67.9,188.01K,-4.19%
5/2/2023,71.55,75.55,75.96,71.32,152.45K,-5.24%
5/1/2023,75.51,76.47,76.49,74.4,64.06K,-1.44%
4/28/2023,76.61,74.71,76.74,73.8,111.02K,2.72%
4/27/2023,74.58,74.3,75.12,73.88,125.42K,0.53%
4/26/2023,74.19,76.93,77.7,73.94,180.08K,-3.49%
4/25/2023,76.87,78.55,78.9,76.33,134.66K,-2.20%
4/24/2023,78.6,77.82,79,76.57,103.04K,1.15%
4/21/2023,77.71,76.85,78.14,76.49,109.19K,0.44%
4/20/2023,77.37,79.03,79.07,76.97,361.41K,-2.36%
4/19/2023,79.24,80.96,81.24,78.53,350.78K,-2.05%
4/18/2023,80.9,81,81.52,79.91,311.78K,0.09%
4/17/2023,80.83,82.42,82.62,80.46,229.97K,-1.94%
4/14/2023,82.43,82.3,82.99,81.64,205.48K,0.48%
4/13/2023,82.04,83.07,83.27,82,155.56K,-1.26%
4/12/2023,83.09,81.38,83.38,81.21,220.62K,1.96%
4/11/2023,81.49,79.87,81.55,79.4,158.75K,2.16%
4/10/2023,79.77,80.5,81.19,79.65,120.66K,-1.13%
4/6/2023,80.68,80.45,80.97,79.69,103.59K,0.06%
4/5/2023,80.63,81.01,81.25,79.75,109.75K,-0.11%
4/4/2023,80.72,80.49,81.81,79.64,148.22K,0.35%
4/3/2023,80.44,80.6,81.77,79.04,287.98K,6.12%
3/31/2023,75.8,74.44,75.83,73.89,125.24K,1.76%
3/30/2023,74.49,73.07,74.72,72.76,99.83K,1.87%
3/29/2023,73.12,73.74,74.48,72.92,133.99K,-0.30%
